,Date,Price,Space Ft2,Bedroom,Bathroom,Furnished,Laundry,Housing Type,Parking,Zipcode,Exterior,KitchenApp,KitchenWall,KitchenFloor,KitchenFurn,LivingWall,LivingFloor,LivingFurn,BedWall,BedFloor,BedFurn,BathWall,BathFloor,BathFurn,Student Housing
0,112917,650,850,20,10,0,0,1,0,13790,2,2,3,3,2,3,3,2,3,3,2,3,3,2,1
1,121217,650,600,10,10,0,3,1,4,13827,3,2,2,3,2,3,3,2,3,3,2,3,3,2,2
3,121217,1100,2120,30,15,0,2,1,2,13760,2,2,2,3,2,3,3,1,2,2,1,3,3,2,2
4,120817,900,800,20,10,1,1,1,4,13905,2,2,2,3,2,3,3,2,3,3,3,3,2,2,1
5,111917,2400,2000,30,25,0,4,0,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
6,112817,997,1344,30,20,0,4,10,4,13827,2,2,2,3,2,3,2,1,3,3,1,3,3,2,2
7,121017,3400,3000,80,30,0,3,0,4,13905,2,2,2,3,2,3,2,3,2,2,2,3,3,2,1
8,121217,725,800,20,10,0,1,9,4,13901,2,2,2,3,2,3,3,2,3,2,1,3,3,2,2
9,112817,997,1344,30,20,0,4,10,4,13827,1,2,2,3,3,3,2,2,2,3,1,2,3,2,2
10,113017,420,144,10,10,1,0,1,4,13760,1,1,2,1,2,3,3,2,2,1,2,2,1,1,2
11,120117,650,154,10,10,1,0,1,4,13760,1,2,2,2,2,3,3,2,3,2,2,2,2,1,2
12,112717,695,750,20,10,0,0,1,0,13901,2,2,2,3,2,3,2,1,3,2,2,3,3,2,0
13,121117,1000,1100,30,10,0,4,0,4,13903,2,2,2,3,3,3,3,3,3,2,2,3,3,2,2
14,120617,1196,1697,30,20,0,4,0,0,13068,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
15,121117,1000,1300,30,10,0,4,0,2,13838,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
16,120217,850,1100,10,10,0,1,1,7,13901,2,2,3,3,3,3,3,1,3,3,1,3,3,3,1
17,121117,700,460,10,10,1,0,1,4,13815,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
18,121117,2750,1900,50,20,1,3,0,4,13905,2,2,2,3,3,3,2,3,3,2,2,3,3,2,1
19,121117,795,1080,30,10,0,4,1,4,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
20,121117,950,1100,30,15,0,3,1,4,13790,2,3,2,3,2,3,3,1,3,3,1,3,3,2,2
21,121117,900,1810,30,20,1,2,0,2,13905,2,2,3,3,2,3,3,2,3,3,1,3,3,2,1
22,121117,1200,2442,40,15,1,2,0,4,13905,3,2,2,3,3,3,3,3,3,3,3,3,3,3,1
23,120517,1400,1400,40,15,1,4,0,4,13903,3,2,2,3,3,3,2,3,3,2,3,3,3,3,1
24,111317,1700,2000,40,10,1,3,1,4,13905,3,3,3,3,3,3,3,2,3,3,2,3,3,2,1
25,111617,675,800,30,10,0,0,1,4,13760,3,2,2,3,2,3,3,2,3,3,1,3,3,2,2
26,120617,550,800,20,10,0,2,1,4,13827,2,2,2,3,2,3,3,1,3,3,1,3,3,2,2
27,121117,1300,1800,40,20,1,2,0,4,13905,2,2,2,3,2,3,3,2,3,2,2,3,3,2,1
28,121117,1500,1800,50,25,1,2,0,4,13905,3,2,2,3,3,3,3,2,3,2,2,3,3,2,1
29,112617,1250,1725,30,30,0,4,0,1,13903,3,2,2,3,2,3,3,1,3,2,1,3,3,2,2
30,121117,1000,1100,30,10,0,4,0,4,13903,2,2,2,3,2,3,3,2,3,2,2,3,3,2,2
31,121117,525,550,10,10,0,4,1,4,13760,2,2,2,3,2,3,3,2,3,3,2,3,3,2,1
32,120417,889,1606,30,20,0,4,1,0,14469,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
33,120417,1122,1810,30,20,0,4,1,0,13045,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
34,120617,725,880,30,15,0,4,10,4,13850,2,2,2,3,2,3,2,1,3,3,2,3,3,2,1
35,111217,700,1000,20,10,0,5,1,4,13905,2,2,3,3,2,3,3,1,3,3,1,3,3,2,2
36,113017,495,500,10,10,0,1,1,4,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
37,112817,1400,2000,40,20,0,3,0,4,13790,2,3,2,3,3,3,3,3,3,3,2,3,3,3,1
38,121017,900,1100,30,10,0,4,1,4,13903,2,3,2,3,3,3,2,3,3,2,2,3,3,3,2
39,120517,2000,2000,60,20,1,1,0,4,13905,2,2,3,3,2,3,2,2,3,2,2,3,3,2,1
40,112817,1275,2300,40,25,0,4,0,4,13815,3,2,2,3,3,3,3,3,3,2,2,3,3,2,2
41,121017,950,1100,30,15,0,3,1,0,13790,2,3,2,3,2,3,3,1,3,3,1,3,3,3,2
42,112917,1700,2044,30,20,0,3,0,2,13760,2,3,3,3,2,3,3,3,3,2,1,3,3,2,2
44,121117,750,1010,20,10,0,0,1,4,13903,2,2,2,3,3,3,2,1,3,3,1,3,3,3,2
45,112217,1600,2100,40,20,0,0,0,0,13903,2,2,2,3,2,3,3,1,3,3,2,3,3,2,1
46,120917,1375,2268,40,25,0,4,0,2,13790,3,2,3,3,2,3,3,2,3,2,1,3,3,2,2
47,120917,1200,1454,40,15,0,4,0,3,13903,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
48,120917,925,1362,30,10,0,4,0,3,13760,2,2,2,3,2,3,3,1,3,3,2,3,3,2,2
49,120917,950,900,30,15,0,0,1,0,13827,3,2,2,3,2,3,3,1,3,2,1,3,3,2,2
50,120217,1500,1500,40,20,1,3,1,4,13901,3,2,2,3,2,3,3,3,3,3,2,2,3,2,1
51,111217,950,1100,30,10,0,0,1,0,13045,2,2,2,3,2,3,3,2,3,3,2,3,3,2,0
53,110917,950,1100,30,15,0,0,0,0,13790,2,3,2,3,2,3,3,2,3,3,3,3,3,2,2
54,120917,650,850,20,10,0,2,1,4,13790,2,2,2,3,3,3,2,1,3,2,1,3,3,3,1
55,120617,1100,1000,20,10,1,3,1,4,13905,2,3,2,3,2,3,3,2,3,3,3,3,3,3,1
56,112817,3150,3500,70,50,1,3,0,4,13905,2,3,2,3,3,3,3,3,3,3,2,3,3,3,1
57,120817,2250,2200,50,20,1,2,4,4,13905,2,2,2,3,2,3,3,3,3,3,3,3,3,3,1
58,120817,1155,1350,30,10,1,1,4,3,13905,3,2,3,3,3,3,3,2,3,3,2,3,3,2,1
59,120817,725,850,20,10,0,2,9,4,13901,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
60,120617,900,1250,30,10,0,1,1,4,13905,3,2,2,3,3,3,3,2,3,3,1,3,3,2,2
62,120617,2450,3000,70,40,1,2,0,4,13901,2,2,2,3,2,3,3,2,3,3,2,3,3,2,1
63,120717,960,1000,30,10,1,0,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
64,120717,800,850,20,10,0,0,1,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
65,120717,650,800,10,10,0,3,1,4,13827,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
67,120517,734,1302,40,20,1,3,1,4,13850,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1
68,120517,1200,1200,20,15,0,3,1,0,13827,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
69,102117,3325,3500,70,40,1,3,0,4,13905,2,3,2,3,2,3,3,2,3,3,1,3,3,2,1
70,120417,750,675,10,10,0,1,1,4,13905,2,2,3,3,2,3,2,1,3,2,1,3,3,2,1
71,112717,1425,1600,30,20,0,3,1,4,13905,2,3,3,3,3,3,3,2,3,3,2,3,3,2,1
72,120417,2000,2500,50,20,1,1,0,4,13905,3,2,2,3,3,3,3,2,3,3,3,3,3,2,1
73,120417,1875,2100,50,10,1,1,0,4,13905,3,2,2,3,3,3,2,2,3,2,3,3,3,2,1
74,110617,850,1030,30,20,0,0,1,0,13903,3,2,2,3,3,3,3,2,3,3,2,3,3,2,2
75,120117,2000,2200,40,15,0,2,0,4,13905,2,3,3,3,3,3,3,2,3,3,3,3,3,2,1
76,112917,1155,1350,30,10,1,1,1,3,13905,2,2,3,3,3,3,3,2,3,3,3,3,3,2,1
77,112217,1600,2050,40,20,0,0,0,0,13901,2,2,2,3,2,3,3,2,3,3,2,3,3,2,1
78,110117,1300,2400,40,20,1,3,0,4,13905,3,2,2,3,2,3,3,2,3,2,2,3,3,2,1
79,103017,1275,1500,30,10,1,3,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
80,103017,2450,2800,70,20,1,3,1,4,13905,3,2,2,3,2,3,2,2,3,3,2,3,3,2,1
81,103017,2200,5000,40,20,1,3,0,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
82,110217,650,1000,20,10,0,5,1,4,13760,3,2,2,3,2,3,2,1,3,2,1,3,3,2,2
83,111817,550,600,10,10,0,1,1,4,13760,2,2,2,3,2,3,3,1,3,3,1,3,3,2,2
84,112917,485,500,10,10,0,5,1,4,13790,2,2,2,3,2,3,2,2,3,2,2,3,3,2,2
85,112817,735,1100,20,10,0,3,1,4,13901,2,3,2,3,2,3,3,1,3,2,1,3,3,2,2
86,110117,330,250,10,10,0,1,0,4,13760,2,2,2,3,2,3,3,1,3,3,2,3,3,2,2
87,112717,650,620,20,10,0,4,1,4,13904,2,2,2,3,2,3,3,1,3,3,1,3,3,2,2
88,110317,2375,2400,50,30,1,3,0,4,13905,2,3,2,3,3,3,3,2,3,3,1,3,3,2,1
89,111617,550,700,10,10,1,1,1,4,13905,3,2,2,3,2,3,3,2,3,3,2,3,3,2,1
90,112017,410,600,10,10,0,5,1,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
91,102717,400,500,10,10,0,0,1,4,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
92,112317,1500,2000,50,20,1,1,1,4,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,1
93,102417,1600,2400,40,25,0,3,0,4,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,1
94,102517,1250,1750,30,30,0,4,0,1,13903,3,2,2,3,3,3,3,1,3,3,1,3,3,2,2
95,112317,984,1591,30,20,0,4,0,0,13670,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
96,110917,1095,900,10,10,0,4,1,0,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
97,102717,575,350,10,10,1,5,1,4,13901,2,2,3,3,2,3,3,2,3,2,2,3,3,2,1
98,112517,1000,2200,30,20,0,3,0,3,13904,3,3,3,3,2,3,2,2,3,2,2,3,3,2,2
99,102417,675,980,20,20,0,4,10,4,13787,2,2,2,3,2,3,2,2,3,2,2,3,3,2,2
100,102117,650,700,10,10,0,0,1,4,13862,2,2,2,3,2,3,3,1,3,2,1,3,3,2,2
101,102317,1525,1200,40,10,0,3,0,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,3,1
102,111717,900,1014,20,10,1,5,0,0,13905,3,2,2,3,3,3,2,2,3,3,2,3,3,2,2
103,111717,1125,1100,30,15,0,3,4,4,13760,3,2,2,3,3,3,2,1,3,2,1,3,3,3,2
104,110317,760,1000,20,10,0,0,1,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
106,111817,450,200,10,10,0,0,1,0,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
107,111817,875,1000,30,10,0,2,0,4,13850,3,2,2,3,2,3,3,1,3,3,1,3,3,2,2
108,111817,775,1100,30,10,0,0,1,0,13760,2,2,3,3,3,3,3,2,3,3,2,3,3,2,2
109,111817,875,560,20,10,0,3,0,4,13802,2,2,2,3,2,3,3,1,3,2,1,3,3,2,2
110,102517,540,650,10,10,0,0,1,4,13760,2,2,2,3,3,3,3,1,3,3,2,3,3,2,2
111,111917,1155,1350,30,10,1,1,1,3,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
112,111217,2000,2300,50,15,0,3,0,2,13905,2,3,2,3,3,3,3,2,3,3,2,3,3,2,2
113,111517,2750,2000,50,20,1,3,0,1,13905,2,2,2,3,3,3,2,2,3,2,2,3,3,2,1
114,110117,650,900,20,10,0,1,1,4,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
115,110117,650,900,20,0,0,2,1,4,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
116,110117,725,900,10,10,0,1,1,4,13760,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
117,111617,750,1098,20,20,0,4,4,4,13760,3,2,2,3,3,3,2,2,3,2,2,3,3,2,2
118,102117,2900,2600,80,20,0,1,1,4,13045,2,2,2,3,3,3,3,2,3,2,2,3,3,2,1
119,111617,1200,1350,30,10,1,1,0,4,13905,3,2,2,3,3,3,3,2,3,2,2,3,3,2,1
120,111617,1155,1350,30,10,1,1,4,3,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
121,111317,1245,1089,20,20,0,0,1,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
122,101817,620,800,10,10,0,5,4,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
123,102317,900,1300,20,10,0,4,4,2,13748,3,2,2,3,3,3,3,2,3,3,2,3,3,2,2
124,111417,775,800,20,10,0,1,1,4,13903,2,2,2,3,3,3,2,1,3,2,1,3,3,2,1
125,111417,750,925,20,10,0,1,1,4,13045,2,2,2,3,3,3,2,1,3,2,1,3,2,2,2
126,111317,775,1200,30,10,1,2,1,4,13903,2,2,2,3,3,3,2,2,3,2,2,3,3,2,2
127,111317,600,1050,10,10,1,2,1,4,13903,2,2,2,3,3,3,2,2,3,2,2,3,3,2,2
128,111217,650,1200,20,10,1,1,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
141,101917,3325,3500,70,50,1,3,0,4,13905,3,3,3,3,3,3,3,2,3,3,2,3,3,2,1
142,111517,600,900,20,10,0,3,0,4,18818,3,2,2,3,3,3,3,2,3,2,2,3,3,2,2
143,111717,1000,1200,30,10,0,0,0,2,13903,3,3,3,3,3,3,3,2,3,3,2,3,3,2,2
144,112017,675,700,10,10,0,0,1,3,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
145,112017,675,700,10,10,1,0,1,3,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
146,112017,725,850,20,10,0,4,9,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
147,112117,800,900,20,10,0,0,1,4,13815,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
148,112117,800,870,20,10,0,2,1,4,13850,2,3,2,3,3,3,2,1,3,2,1,3,3,2,1
149,111517,750,870,20,10,0,2,1,4,13850,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
150,111217,725,1200,20,10,0,4,1,4,13903,2,2,2,3,3,3,2,1,3,3,2,3,3,2,2
151,112217,1140,825,20,10,0,0,0,0,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
152,102317,3500,2500,70,20,1,3,1,4,13905,2,2,3,3,3,3,3,2,3,3,1,3,3,2,1
153,102717,750,800,20,10,0,0,1,4,13790,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
154,112517,825,1800,30,10,0,4,1,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
155,111917,3000,4700,40,35,0,2,0,2,13760,3,2,2,3,3,3,3,2,3,3,2,3,3,2,2
156,102917,2250,2600,60,20,1,3,0,4,13901,3,3,2,3,3,3,2,2,3,3,2,3,3,2,1
157,110217,2900,2400,80,20,1,1,1,4,13045,2,2,2,3,3,3,2,2,3,2,2,3,3,2,1
158,112617,725,850,20,10,0,4,9,4,13901,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
159,111317,800,800,20,10,0,4,1,4,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
160,111317,800,900,20,10,0,4,1,4,13905,2,2,2,2,3,3,3,1,3,3,1,3,3,2,2
161,111317,750,600,10,10,0,1,1,4,13790,2,3,3,3,3,3,3,1,3,3,1,3,3,2,2
162,111317,900,1000,20,10,0,4,1,4,13905,2,2,2,3,3,3,3,1,3,2,1,3,3,2,2
163,102917,1395,1725,50,20,0,5,0,4,13905,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
164,110917,1200,2600,60,25,0,4,0,2,13827,2,3,3,2,3,3,2,1,3,2,1,3,3,2,2
165,112517,685,1000,20,15,0,4,1,4,18840,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
166,110617,900,1300,20,10,0,4,1,2,13784,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
167,110317,595,570,20,10,0,1,1,4,13827,2,2,2,3,3,3,3,1,3,3,1,3,3,2,2
168,110317,2250,2400,50,20,1,3,0,4,13905,2,3,2,3,3,3,3,1,3,3,2,3,3,3,1
169,120117,850,800,20,10,0,1,1,4,13903,2,3,3,3,3,3,3,2,3,3,2,3,3,2,2
170,110217,900,1810,30,20,1,2,0,2,13905,3,3,3,3,3,3,3,2,3,3,1,3,3,2,1
171,120317,1900,2800,30,20,1,3,0,4,13827,3,2,2,3,3,3,3,2,3,3,2,3,3,2,2
172,111117,750,1000,20,10,0,4,1,4,13904,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
173,120317,675,900,20,10,0,1,1,4,13903,2,2,2,3,3,3,1,1,3,1,1,3,3,2,2
174,111817,600,450,10,10,0,1,1,4,13903,2,2,2,3,3,3,3,1,3,3,1,3,3,2,1
175,110817,725,850,20,10,0,2,9,4,13901,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
176,120317,600,450,10,10,0,0,1,4,13903,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
177,111617,650,650,10,10,0,0,1,4,13045,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
178,110517,775,775,20,10,0,0,0,0,13790,3,3,2,3,3,3,3,1,2,2,1,3,3,2,1
180,120417,600,250,10,10,0,0,1,2,13903,2,2,2,3,3,3,3,2,3,2,1,3,3,2,1
